HP:0001842	Foot acroosteolysis
HP:0100943	Sclerosis of the proximal phalanx of the hallux
HP:0009695	Stippling of thumb epiphysis
HP:0100939	Sclerosis of the distal phalanx of the 2nd toe
HP:0100933	Sclerosis of the proximal phalanx of the 4th toe
HP:0005841	Calcific stippling of infantile cartilaginous skeleton
HP:0100944	Sclerosis of the distal phalanx of the hallux
HP:0009551	Patchy sclerosis of 2nd finger phalanx
HP:0009303	Osteolytic defects of the distal phalanx of the 4th finger
HP:0012062	Bone cyst
HP:0006615	Absent in utero rib ossification
HP:0100929	Sclerosis of 5th toe phalanx
HP:0012791	Abnormal humeral ossification
HP:0005789	Generalized osteosclerosis
HP:0010252	Ivory epiphyses of the distal phalanges of the hand
HP:0008797	Early ossification of capital femoral epiphyses
HP:0010739	Osteopoikilosis
HP:0004695	Calcaneal epiphyseal stippling
HP:0011001	Increased bone mineral density
HP:0006420	Asymmetric radial dysplasia
HP:6000651	Abnormal metacarpal ossification
HP:0005474	Decreased calvarial ossification
HP:0100902	Sclerosis of the distal phalanx of the 4th finger
HP:0100909	Sclerosis of the proximal phalanx of the 3rd finger
HP:0008114	Metatarsal diaphyseal endosteal sclerosis
HP:0040160	Generalized osteoporosis
HP:0100465	Patchy sclerosis of the proximal phalanx of the 4th toe
HP:0100166	Stippling of the epiphysis of the proximal phalanx of the 3rd toe
HP:0009645	Osteolytic defect of the distal phalanx of the thumb
HP:0008435	Absent in utero ossification of vertebral bodies
HP:0003947	Delayed elbow epiphyseal ossification
HP:0009243	Patchy sclerosis of the distal phalanx of the 5th finger
HP:0009585	Patchy sclerosis of the proximal phalanx of the 2nd finger
HP:0009106	Abnormal pelvis bone ossification
HP:0004238	Lytic defects of carpal bones
HP:0008131	Tarsal stippling
HP:0009134	Osteolysis involving bones of the feet
HP:0008095	Osteolysis of talus
HP:0008087	Nonossified fifth metatarsal
HP:0100920	Sclerosis of 4th finger phalanx
HP:0000939	Osteoporosis
HP:0006598	Irregular ossification at anterior rib ends
HP:0006634	Osteosclerosis of ribs
HP:0100914	Sclerosis of the 1st metacarpal
HP:0001216	Delayed ossification of carpal bones
HP:0010063	Patchy sclerosis of hallux phalanx
HP:0100907	Sclerosis of the middle phalanx of the 5th finger
HP:0006454	Delayed patellar ossification
HP:0100036	Pseudo-fractures
HP:0009406	Patchy sclerosis of 4th finger phalanx
HP:0010660	Abnormal hand bone ossification
HP:0100670	Coarse metaphyseal trabecularization
HP:0100453	Osteolytic defects of the middle phalanx of the 4th toe
HP:0001870	Acroosteolysis of distal phalanges (feet)
HP:0008828	Delayed proximal femoral epiphyseal ossification
HP:0004289	Sclerotic foci in hand bones
HP:0006643	Fused sternal ossification centers
HP:0005686	Patchy osteosclerosis
HP:6000952	Delayed toe phalanx ossification
HP:0003867	Humeral cortical irregularity
HP:0100913	Sclerosis of the proximal phalanx of the thumb
HP:0004331	Decreased skull ossification
HP:0100900	Sclerosis of the distal phalanx of the 2nd finger
HP:0010658	Patchy changes of bone mineral density
HP:0010375	Osteolytic defects of the phalanges of the 4th toe
HP:0045039	Osteolysis involving bones of the upper limbs
HP:6000812	Thickened cortex of the ulna
HP:0008134	Irregular tarsal ossification
HP:0009416	Ivory epiphyses of the 3rd finger
HP:0009312	Osteolytic defects of the proximal phalanx of the 4th finger
HP:0009164	Abnormal calcification of the carpal bones
HP:0003784	Type 1 collagen overmodification
HP:0009584	Osteolytic defects of the proximal phalanx of the 2nd finger
HP:0009840	Patchy sclerosis of distal phalanx of finger
HP:0005477	Progressive sclerosis of skull base
HP:0002752	Sparse bone trabeculae
HP:0000250	Dense calvaria
HP:0006257	Abnormality of carpal bone ossification
HP:0009297	Osteolytic defects of the middle phalanx of the 4th finger
HP:0005897	Severe generalized osteoporosis
HP:0004054	Sclerosis of hand bone
HP:0100924	Sclerosis of toe phalanx
HP:0009377	Patchy sclerosis of 5th finger phalanx
HP:0100905	Sclerosis of the middle phalanx of the 3rd finger
HP:0008820	Absent ossification of capital femoral epiphysis
HP:0004912	Hypophosphatemic rickets
HP:0009220	Ivory epiphysis of the middle phalanx of the 4th finger
HP:0009256	Ivory epiphysis of the distal phalanx of the 4th finger
HP:0010024	Epiphyseal stippling of the first metacarpal
HP:0100928	Sclerosis of 4th toe phalanx
HP:0009684	Stippling of the epiphysis of the distal phalanx of the thumb
HP:0005700	Increased bone density with cystic changes
HP:0100948	Sclerosis of distal toe phalanx
HP:0004223	Ivory epiphysis of the distal phalanx of the 5th finger
HP:0009847	Osteolytic defects of the middle phalanges of the hand
HP:0010090	Patchy sclerosis of the proximal phalanx of the hallux
HP:6000705	Thickened fibular cortex
HP:0009304	Patchy sclerosis of the distal phalanx of the 4th finger
HP:0003892	Absent humeral epiphyseal ossification
HP:0005450	Calvarial osteosclerosis
HP:0100940	Sclerosis of the distal phalanx of the 3rd toe
HP:0010399	Osteolytic defects of the proximal phalanx of the 2nd toe
HP:0003897	Irregular ossification of the humeral epiphyses
HP:0010655	Epiphyseal stippling
HP:0100461	Patchy sclerosis of the middle phalanx of the 3rd toe
HP:0005791	Cortical thickening of long bone diaphyses
HP:0100131	Stippling of the epiphysis of the proximal phalanx of the 2nd toe
HP:0004240	Sclerotic foci within carpal bones
HP:0100923	Clavicular sclerosis
HP:0100671	Abnormal trabecular bone morphology
HP:0010081	Patchy sclerosis of the distal phalanx of the hallux
HP:0034282	Subcutaneous ossification
HP:0009157	Ivory epiphysis of the proximal phalanx of the 5th finger
HP:0008829	Delayed femoral head ossification
HP:0100039	Thickened cortex of bones
HP:0009344	Stippling of the epiphysis of the distal phalanx of the 3rd finger
HP:0100075	Stippling of the epiphyses of the 4th toe
HP:0009444	Patchy sclerosis of 3rd finger phalanx
HP:0000905	Progressive clavicular acroosteolysis
HP:0003914	Irregular ossification of humeral metaphyses
HP:0002749	Osteomalacia
HP:0003860	Diaphyseal sclerosis of the upper limbs
HP:0010266	Stippling of the epiphyses of the middle phalanges of the hand
HP:0100856	Poorly ossified vertebrae
HP:0009388	Ivory epiphyses of the 5th finger
HP:0003336	Abnormal enchondral ossification
HP:0009692	Ivory epiphysis of the thumb
HP:0009139	Osteolysis involving bones of the lower limbs
HP:0100189	Stippling of the epiphysis of the middle phalanx of the 4th toe
HP:0009231	Patchy sclerosis of the proximal phalanx of the 5th finger
HP:0100927	Sclerosis of 3rd toe phalanx
HP:0009259	Stippling of the epiphysis of the distal phalanx of the 4th finger
HP:0005885	Absent ossification of cervical vertebral bodies
HP:0004599	Absent or minimally ossified vertebral bodies
HP:0100941	Sclerosis of the distal phalanx of the 4th toe
HP:0006174	Metacarpal diaphyseal endosteal sclerosis
HP:0009330	Stippling of the epiphysis of the middle phalanx of the 3rd finger
HP:0009634	Patchy sclerosis of the proximal phalanx of the thumb
HP:0011987	Ectopic ossification in muscle tissue
HP:0009855	Osteolytic defects of the proximal phalanges of the hand
HP:0005623	Absent ossification of calvaria
HP:0004053	Dysharmonic maturation of the hand bones
HP:0100915	Sclerosis of distal finger phalanx
HP:0006016	Delayed phalangeal epiphyseal ossification
HP:0100469	Patchy sclerosis of the distal phalanx of the 5th toe
HP:0010207	Osteolytic defect of the proximal toe phalanx
HP:0009223	Stippling of the epiphysis of the middle phalanx of the 4th finger
HP:0002797	Osteolysis
HP:0006202	Osteolysis of scaphoids
HP:0010363	Osteolytic defects of the phalanges of the 3rd toe
HP:0010387	Osteolytic defects of the phalanges of the 5th toe
HP:0006642	Large sternal ossification centers
HP:0003894	Delayed humeral epiphyseal ossification
HP:0004274	Deficient ossification of hand bones
HP:0006415	Cortically dense long tubular bones
HP:0010136	Stippling of the epiphysis of the proximal phalanx of the hallux
HP:0009562	Patchy sclerosis of the distal phalanx of the 2nd finger
HP:0009212	Stippling of the epiphysis of the middle phalanx of the 5th finger
HP:0009530	Ivory epiphysis of the proximal phalanx of the 2nd finger
HP:0100906	Sclerosis of the middle phalanx of the 4th finger
HP:0003880	Sclerotic foci of the humerus
HP:0100904	Sclerosis of the middle phalanx of the 2nd finger
HP:0100053	Stippling of the epiphyses of the 2nd toe
HP:0006176	Two carpal ossification centers present at birth
HP:0006378	Osteolysis of patellae
HP:0008103	Delayed tarsal ossification
HP:0005665	Massively thickened long bone cortices
HP:0009519	Ivory epiphysis of the middle phalanx of the 2nd finger
HP:0012306	Abnormal rib ossification
HP:0009355	Stippling of the epiphysis of the proximal phalanx of the 3rd finger
HP:0006140	Premature fusion of phalangeal epiphyses
HP:0009132	Abnormal tarsal bone mineral density
HP:0006392	Increased density of long bones
HP:0006611	Decreased number of sternal ossification centers
HP:0100086	Stippling of the epiphyses of the 5th toe
HP:0004605	Absent vertebral body mineralization
HP:0004241	Stippled calcification in carpal bones
HP:0009313	Patchy sclerosis of the proximal phalanx of the 4th finger
HP:0009443	Osteolytic defects of the phalanges of the 3rd finger
HP:0009391	Stippling of the epiphyses of the 5th finger
HP:0004234	Bone-in-a-bone appearance of carpal bones
HP:0100458	Osteolytic defects of the distal phalanx of the 3rd toe
HP:0008142	Delayed calcaneal ossification
HP:0004246	Delayed ossification of the scaphoid
HP:0100903	Sclerosis of the distal phalanx of the 5th finger
HP:0004281	Irregular sclerosis of hand bones
HP:0010274	Ivory epiphyses of the proximal phalanges of the hand
HP:0010089	Osteolytic defects of the proximal phalanx of the hallux
HP:0000935	Thickened cortex of long bones
HP:0004020	Irregular ossification of the radial metaphysis
HP:0012064	Unicameral bone cyst
HP:0100460	Osteolytic defects of the distal phalanx of the 5th toe
HP:0100456	Osteolytic defects of the proximal phalanx of the 4th toe
HP:0011862	Abnormal bone collagen fibril morphology
HP:0010656	Abnormal epiphyseal ossification
HP:0009195	Epiphyseal stippling of the metacarpals
HP:0005625	Osteoporosis of vertebrae
HP:0100912	Sclerosis of the distal phalanx of the thumb
HP:0008835	Multicentric femoral head ossification
HP:0009561	Osteolytic defects of the distal phalanx of the 2nd finger
HP:0010021	Ivory epiphysis of the 1st metacarpal
HP:0030042	Incomplete ossification of pubis
HP:0008477	Poorly ossified cervical vertebrae
HP:0034159	Paget disease of bone
HP:0009522	Stippling of the epiphysis of the middle phalanx of the 2nd finger
HP:0012792	Absent ossification of thoracic vertebral bodies
HP:0010277	Stippling of the epiphyses of the proximal phalanges of the hand
HP:0010418	Patchy sclerosis of the distal phalanx of the 2nd toe
HP:0006607	Precocious costochondral ossification
HP:0040161	Localized osteoporosis
HP:0006433	Radial dysplasia
HP:0012711	Delayed ossification of vertebral epiphysis
HP:0010657	Patchy reduction of bone mineral density
HP:0003837	Soft-tissue ossification around the shoulders
HP:0045001	Abnormal ossification of the trapezium
HP:0100464	Patchy sclerosis of the proximal phalanx of the 3rd toe
HP:0009454	Patchy sclerosis of the proximal phalanx of the 3rd finger
HP:0100457	Osteolytic defects of the proximal phalanx of the 5th toe
HP:0009201	Stippling of the epiphysis of the proximal phalanx of the 5th finger
HP:0100908	Sclerosis of the proximal phalanx of the 2nd finger
HP:0002748	Rickets
HP:0001504	Metacarpal osteolysis
HP:0004290	Sclerosis of hand bones with transverse striations
HP:0004253	Absent trapezium
