gene,case_idx,original_count,augmented_count,num_nodes,num_edges,avg_degree
AARS1,0,3,16,16,32,2.0
AARS1,1,3,21,21,48,2.2857142857142856
AARS1,2,3,21,21,48,2.2857142857142856
AARS1,3,3,21,21,48,2.2857142857142856
AARS1,4,2,18,18,42,2.3333333333333335
AARS1,5,2,18,18,42,2.3333333333333335
AARS2,0,5,37,37,80,2.1621621621621623
AARS2,1,4,21,21,40,1.9047619047619047
AARS2,2,5,21,21,40,1.9047619047619047
AARS2,3,4,21,21,40,1.9047619047619047
AARS2,4,4,21,21,40,1.9047619047619047
AARS2,5,7,31,31,60,1.935483870967742
AARS2,6,5,27,27,52,1.9259259259259258
ABAT,0,5,20,20,38,1.9
ABAT,1,4,19,19,38,2.0
ABAT,2,5,22,22,44,2.0
ABAT,3,4,19,19,38,2.0
ABAT,4,6,34,34,72,2.1176470588235294
ABAT,5,6,32,32,68,2.125
ABAT,6,8,43,43,90,2.0930232558139537
ABAT,7,6,31,31,66,2.129032258064516
ABCA3,0,5,17,17,32,1.8823529411764706
ABCA3,1,7,21,21,40,1.9047619047619047
ABCA3,2,5,17,17,32,1.8823529411764706
ABCA3,3,6,19,19,36,1.894736842105263
ABCA3,4,5,17,17,32,1.8823529411764706
ABCA3,5,7,21,21,42,2.0
ABCA3,6,9,29,29,60,2.0689655172413794
ABCA3,7,5,17,17,32,1.8823529411764706
ABCA3,8,7,21,21,40,1.9047619047619047
ABCA3,9,6,19,19,36,1.894736842105263
ABCA4,0,3,17,17,36,2.1176470588235294
ABCA4,1,1,7,7,12,1.7142857142857142
ABCB4,0,3,18,18,36,2.0
ABCB4,1,8,47,47,104,2.2127659574468086
ABCB4,2,5,31,31,68,2.193548387096774
ABCB4,3,8,40,40,88,2.2
ABCB4,4,6,36,36,78,2.1666666666666665
ABCB4,5,5,36,36,84,2.3333333333333335
ABCB4,6,12,54,54,118,2.185185185185185
ABCB4,7,6,42,42,98,2.3333333333333335
ABCB4,8,7,38,38,84,2.210526315789474
ABCB4,9,6,42,42,100,2.380952380952381
ABCB6,0,2,16,16,40,2.5
ABCB6,1,1,9,9,20,2.2222222222222223
ABCB6,2,1,12,12,26,2.1666666666666665
ABCB6,3,1,12,12,26,2.1666666666666665
ABCB6,4,1,12,12,26,2.1666666666666665
ABCB6,5,1,12,12,26,2.1666666666666665
ABCB6,6,1,12,12,26,2.1666666666666665
ABCB6,7,1,12,12,26,2.1666666666666665
ABCB6,8,1,12,12,26,2.1666666666666665
ABCB6,9,1,12,12,26,2.1666666666666665
ABCB6,10,1,12,12,26,2.1666666666666665
ABCB7,0,1,9,9,16,1.7777777777777777
ABCD1,0,5,20,20,40,2.0
ABCD1,1,3,16,16,30,1.875
ABCD1,2,6,25,25,50,2.0
ABCD1,3,1,5,5,8,1.6
ABCD1,4,5,20,20,40,2.0
ABCD1,5,6,25,25,50,2.0
ABCD1,6,3,16,16,30,1.875
ABCD1,7,5,20,20,40,2.0
ABCD1,8,5,20,20,40,2.0
ABCD1,9,5,20,20,40,2.0
ABCD1,10,3,15,15,30,2.0
ABCD1,11,5,20,20,40,2.0
ABCD1,12,1,5,5,8,1.6
ABCD1,13,5,20,20,40,2.0
ABCD1,14,5,20,20,40,2.0
ABCD1,15,1,5,5,8,1.6
ABCD1,16,1,5,5,8,1.6
ABCD1,17,1,5,5,8,1.6
ABCD1,18,3,16,16,30,1.875
ABCD1,19,3,15,15,30,2.0
ABCD1,20,3,16,16,30,1.875
ABCD1,21,3,16,16,30,1.875
ABCD1,22,3,15,15,30,2.0
ABCD1,23,5,20,20,40,2.0
ABCD1,24,1,5,5,8,1.6
ABCD1,25,1,5,5,8,1.6
