GENE,PHENOTYPES,RANK,SCORE
AARS1,"HP:0001288,HP:0001761,HP:0000407",100,-17.583003997802734
AARS1,"HP:0009053,HP:0002936,HP:0001315",37,-16.16855812072754
AARS1,"HP:0009053,HP:0002936,HP:0001315",37,-16.16855812072754
AARS1,"HP:0009053,HP:0002936,HP:0001315",37,-16.16855812072754
AARS1,"HP:0009053,HP:0002936",36,-14.191515922546387
AARS1,"HP:0009053,HP:0002936",36,-14.191516876220703
AARS2,"HP:0001251,HP:0002352,HP:0006895,HP:0008209,HP:0002313",1,-27.55183982849121
AARS2,"HP:0001251,HP:0001272,HP:0001260,HP:0001310",44,-15.71586799621582
AARS2,"HP:0001251,HP:0006934,HP:0001332,HP:0001269,HP:0001328",1,-29.433856964111328
AARS2,"HP:0001268,HP:0008209,HP:0006980,HP:0001250",2,-20.454591751098633
AARS2,"HP:0002353,HP:0001639,HP:0003128,HP:0002093",1,-17.80796241760254
AARS2,"HP:0001251,HP:0001272,HP:0001310,HP:0001263,HP:0002352,HP:0008209,HP:0002344",1,-28.108301162719727
AARS2,"HP:0002194,HP:0001508,HP:0001639,HP:0003128,HP:0001324",1,-22.16077995300293
ABAT,"HP:0002353,HP:0001347,HP:0001252,HP:0001250,HP:0011344",1,-12.591541290283203
ABAT,"HP:0100786,HP:0001252,HP:0001250,HP:0011344",1,-12.879033088684082
ABAT,"HP:0001347,HP:0001252,HP:0002415,HP:0001250,HP:0011344",1,-15.764273643493652
ABAT,"HP:0100786,HP:0001252,HP:0001250,HP:0011344",1,-12.879033088684082
ABAT,"HP:0010850,HP:0100786,HP:0001252,HP:0000657,HP:0007166,HP:0011344",1,-28.898996353149414
ABAT,"HP:0001266,HP:0001263,HP:0001347,HP:0100786,HP:0001252,HP:0010841",1,-19.340639114379883
ABAT,"HP:0001999,HP:0100704,HP:0001263,HP:0000365,HP:0001347,HP:0001252,HP:0000252,HP:0001250",1,-22.79505729675293
ABAT,"HP:0001266,HP:0001263,HP:0100786,HP:0001252,HP:0010841,HP:0001250",1,-20.227519989013672
ABCA3,"HP:0002088,HP:0032316,HP:0003811,HP:0003623,HP:0002878",1,-14.811605453491211
ABCA3,"HP:0002088,HP:0005942,HP:0032316,HP:0006517,HP:0003811,HP:0003623,HP:0002878",1,-24.9633846282959
ABCA3,"HP:0032974,HP:0002094,HP:0002097,HP:0034981,HP:0025179",6,-27.21550750732422
ABCA3,"HP:0002088,HP:0005942,HP:0006517,HP:0003811,HP:0003623,HP:0002878",1,-22.715633392333984
ABCA3,"HP:0002088,HP:0032316,HP:0003811,HP:0003623,HP:0002878",1,-14.811605453491211
