2026-02-23 21:01:48,057 - INFO - Dataset loaded from data/simulation/fnn_dataset_all_20260223_201256_mean | format=fnn_memmap | samples train=36603 val=5229 test=10458 | split_source=precomputed | workers(train=16, eval=4) | multiprocessing=False | max_queue_size=32
2026-02-23 21:01:48,504 - INFO - Starting fit: start_epoch=1, epochs=40, batch_size=1024
2026-02-23 21:01:53,399 - INFO - Epoch 1 | Validation ranking metrics | MRR: 0.0064 | Top-1: 0.0017, Top-5: 0.0061, Top-10: 0.0107, Top-20: 0.0201
2026-02-23 21:01:56,835 - INFO - Epoch 2 | Validation ranking metrics | MRR: 0.0402 | Top-1: 0.0176, Top-5: 0.0511, Top-10: 0.0792, Top-20: 0.1193
2026-02-23 21:02:00,028 - INFO - Epoch 3 | Validation ranking metrics | MRR: 0.0846 | Top-1: 0.0417, Top-5: 0.1146, Top-10: 0.1622, Top-20: 0.2220
2026-02-23 21:02:03,433 - INFO - Epoch 4 | Validation ranking metrics | MRR: 0.1163 | Top-1: 0.0683, Top-5: 0.1528, Top-10: 0.2046, Top-20: 0.2687
2026-02-23 21:02:06,636 - INFO - Epoch 5 | Validation ranking metrics | MRR: 0.1366 | Top-1: 0.0820, Top-5: 0.1821, Top-10: 0.2415, Top-20: 0.3052
2026-02-23 21:02:09,866 - INFO - Epoch 6 | Validation ranking metrics | MRR: 0.1527 | Top-1: 0.0979, Top-5: 0.1941, Top-10: 0.2578, Top-20: 0.3276
2026-02-23 21:02:13,109 - INFO - Epoch 7 | Validation ranking metrics | MRR: 0.1587 | Top-1: 0.1015, Top-5: 0.2067, Top-10: 0.2708, Top-20: 0.3408
2026-02-23 21:02:16,209 - INFO - Epoch 8 | Validation ranking metrics | MRR: 0.1648 | Top-1: 0.1077, Top-5: 0.2142, Top-10: 0.2767, Top-20: 0.3479
2026-02-23 21:02:19,537 - INFO - Epoch 9 | Validation ranking metrics | MRR: 0.1693 | Top-1: 0.1105, Top-5: 0.2199, Top-10: 0.2878, Top-20: 0.3574
2026-02-23 21:02:22,691 - INFO - Epoch 10 | Validation ranking metrics | MRR: 0.1766 | Top-1: 0.1184, Top-5: 0.2303, Top-10: 0.2859, Top-20: 0.3582
2026-02-23 21:02:25,782 - INFO - Epoch 11 | Validation ranking metrics | MRR: 0.1764 | Top-1: 0.1163, Top-5: 0.2303, Top-10: 0.2939, Top-20: 0.3660
2026-02-23 21:02:28,818 - INFO - Epoch 12 | Validation ranking metrics | MRR: 0.1804 | Top-1: 0.1209, Top-5: 0.2343, Top-10: 0.2943, Top-20: 0.3653
2026-02-23 21:02:31,862 - INFO - Epoch 13 | Validation ranking metrics | MRR: 0.1810 | Top-1: 0.1205, Top-5: 0.2348, Top-10: 0.2932, Top-20: 0.3641
2026-02-23 21:02:34,930 - INFO - Epoch 14 | Validation ranking metrics | MRR: 0.1839 | Top-1: 0.1251, Top-5: 0.2383, Top-10: 0.2959, Top-20: 0.3657
2026-02-23 21:02:37,977 - INFO - Epoch 15 | Validation ranking metrics | MRR: 0.1849 | Top-1: 0.1268, Top-5: 0.2362, Top-10: 0.2947, Top-20: 0.3613
2026-02-23 21:02:40,979 - INFO - Epoch 16 | Validation ranking metrics | MRR: 0.1868 | Top-1: 0.1295, Top-5: 0.2381, Top-10: 0.2934, Top-20: 0.3613
2026-02-23 21:02:43,954 - INFO - Epoch 17 | Validation ranking metrics | MRR: 0.1829 | Top-1: 0.1232, Top-5: 0.2396, Top-10: 0.2955, Top-20: 0.3607
2026-02-23 21:02:46,966 - INFO - Epoch 18 | Validation ranking metrics | MRR: 0.1845 | Top-1: 0.1253, Top-5: 0.2368, Top-10: 0.3018, Top-20: 0.3611
2026-02-23 21:02:50,030 - INFO - Epoch 19 | Validation ranking metrics | MRR: 0.1867 | Top-1: 0.1276, Top-5: 0.2377, Top-10: 0.2947, Top-20: 0.3624
2026-02-23 21:02:53,123 - INFO - Epoch 20 | Validation ranking metrics | MRR: 0.1876 | Top-1: 0.1289, Top-5: 0.2410, Top-10: 0.2972, Top-20: 0.3618
2026-02-23 21:02:56,193 - INFO - Epoch 21 | Validation ranking metrics | MRR: 0.1855 | Top-1: 0.1266, Top-5: 0.2404, Top-10: 0.2962, Top-20: 0.3597
2026-02-23 21:02:59,252 - INFO - Epoch 22 | Validation ranking metrics | MRR: 0.1859 | Top-1: 0.1277, Top-5: 0.2375, Top-10: 0.2941, Top-20: 0.3584
2026-02-23 21:03:02,295 - INFO - Epoch 23 | Validation ranking metrics | MRR: 0.1829 | Top-1: 0.1237, Top-5: 0.2358, Top-10: 0.2962, Top-20: 0.3576
2026-02-23 21:03:05,312 - INFO - Epoch 24 | Validation ranking metrics | MRR: 0.1843 | Top-1: 0.1247, Top-5: 0.2377, Top-10: 0.2934, Top-20: 0.3580
2026-02-23 21:03:08,364 - INFO - Epoch 25 | Validation ranking metrics | MRR: 0.1856 | Top-1: 0.1287, Top-5: 0.2375, Top-10: 0.2920, Top-20: 0.3593
2026-02-23 21:03:11,481 - INFO - Epoch 26 | Validation ranking metrics | MRR: 0.1857 | Top-1: 0.1279, Top-5: 0.2369, Top-10: 0.2957, Top-20: 0.3595
2026-02-23 21:03:14,511 - INFO - Epoch 27 | Validation ranking metrics | MRR: 0.1849 | Top-1: 0.1285, Top-5: 0.2345, Top-10: 0.2939, Top-20: 0.3590
2026-02-23 21:03:17,573 - INFO - Epoch 28 | Validation ranking metrics | MRR: 0.1861 | Top-1: 0.1276, Top-5: 0.2402, Top-10: 0.2960, Top-20: 0.3561
2026-02-23 21:03:20,663 - INFO - Epoch 29 | Validation ranking metrics | MRR: 0.1879 | Top-1: 0.1302, Top-5: 0.2394, Top-10: 0.2945, Top-20: 0.3580
2026-02-23 21:03:23,845 - INFO - Epoch 30 | Validation ranking metrics | MRR: 0.1874 | Top-1: 0.1300, Top-5: 0.2412, Top-10: 0.2957, Top-20: 0.3601
2026-02-23 21:03:26,907 - INFO - Epoch 31 | Validation ranking metrics | MRR: 0.1862 | Top-1: 0.1277, Top-5: 0.2392, Top-10: 0.2959, Top-20: 0.3582
2026-02-23 21:03:29,994 - INFO - Epoch 32 | Validation ranking metrics | MRR: 0.1868 | Top-1: 0.1277, Top-5: 0.2379, Top-10: 0.2955, Top-20: 0.3576
2026-02-23 21:03:33,105 - INFO - Epoch 33 | Validation ranking metrics | MRR: 0.1854 | Top-1: 0.1260, Top-5: 0.2387, Top-10: 0.2934, Top-20: 0.3597
2026-02-23 21:03:36,159 - INFO - Epoch 34 | Validation ranking metrics | MRR: 0.1870 | Top-1: 0.1304, Top-5: 0.2352, Top-10: 0.2943, Top-20: 0.3597
2026-02-23 21:03:39,245 - INFO - Epoch 35 | Validation ranking metrics | MRR: 0.1858 | Top-1: 0.1279, Top-5: 0.2337, Top-10: 0.2949, Top-20: 0.3607
